Numero de Dossier,Matricule
00111482,6.5005 8152 64 2654 9 000 0000
00111485,6.5005 8947 01 1263 5 000 0000
00111486,6.5005 8348 31 8632 2 000 0000
00121653,6.5005 8450 79 7071 7 000 0000
00121654,6.5005 9657 54 1729 8 000 0000
00121655,6.5005 9657 54 7675 7 000 0000
00001313,6.5005 9657 64 3031 6 000 0000
00010139,6.5005 8443 63 8705 8 000 0000
00006427,6.5005 8341 66 1328 5 101 0031
00008983,6.5005 8347 55 1867 2 000 0000
00009905,6.5005 8152 85 1619 8 000 0000
00009906,6.5005 8643 19 8229 6 000 0000
00010580,6.5005 8544 35 0100 3 000 0000
00076278,6.5005 7546 41 6154 8 000 0000
00165521,6.5005 8446 18 8594 3 002 0003
00074747,6.5005 9958 28 4842 2 000 0000
00171146,6.5005 8443 06 6038 5 000 0000
00170583,6.5005 7746 63 5918 7 511 0000
00116465,6.5005 8147 79 7329 1 000 0000
00116493,6.5005 8752 78 6107 1 000 0000
00116497,6.5005 8049 09 3695 4 000 0000
00009510,6.5005 8442 62 2481 6 000 0000
00165375,6.5005 9858 10 0758 4 000 0000
00154981,6.5005 8847 11 6098 1 002 0032
00123567,6.5005 8546 71 2719 8 001 0007
00008705,6.5005 8149 85 5674 5 000 0000
00008676,6.5005 8443 44 1751 9 000 0000
00138308,6.5005 8455 96 6125 5 001 0004
00127026,6.5005 8555 09 8649 2 000 0000
00099026,6.5005 8250 59 3732 4 000 0000
00046038,6.5005 7943 80 8914 0 000 0000
00140041,6.5005 8845 87 2452 8 000 0000
00029369,6.5005 8253 94 0064 6 000 0000
00071311,6.5005 8254 70 8912 6 000 0000
00120836,6.5005 8246 30 4997 1 000 0000
00045202,6.5005 8246 30 6379 0 000 0000
00122008,6.5005 8246 30 7760 0 000 0000
00153813,6.5005 8246 30 8648 6 000 0000
00108831,6.5005 8246 30 9536 2 000 0000
00031583,6.5005 8246 40 2074 0 000 0000
00046403,6.5005 8246 40 3383 4 000 0000
00100037,6.5005 8246 41 0620 0 000 0000
00057982,6.5005 8246 30 7597 6 000 0000
00036408,6.5005 8246 40 0360 5 000 0000
00009355,6.5005 7546 81 4069 6 000 0000
00118705,6.5005 8553 38 7899 8 012 0000
00038185,6.5005 8445 60 7187 1 000 0000
00038136,6.5005 8948 73 4035 1 000 0000
00106850,6.5005 9858 09 8418 9 000 0000
00106852,6.5005 9958 79 1165 4 000 0000
00106854,6.5005 9049 89 2152 8 000 0000
00106855,6.5005 8448 37 9927 0 000 0000
00106857,6.5005 9259 03 5633 0 000 0000
00106860,6.5005 8042 16 2773 0 000 0000
00170225,6.5005 9757 75 9779 8 000 0000
00170226,6.5005 9757 76 7409 2 000 0000
00170233,6.5005 8846 69 7562 5 000 0000
00170234,6.5005 8846 69 9677 9 000 0000
00013116,6.5005 8846 79 1791 5 000 0000
00135774,6.5005 8847 70 3806 6 000 0000
00048050,6.5005 8444 13 3084 6 000 0000
00080677,6.5005 7847 92 5742 6 000 0000
00096948,6.5005 8456 62 4493 9 000 0000
00116871,6.5005 8456 96 7900 8 000 0000
00085429,6.5005 9255 32 1857 6 000 0000
00118280,6.5005 9048 06 0935 4 000 0000
00114556,6.5005 8847 11 6098 1 004 0017
00022757,6.5005 8444 94 1230 7 000 0000
00159762,6.5005 8747 47 4300 9 007 0001
00159763,6.5005 8654 04 7047 2 000 0000
00074364,6.5005 8644 31 3120 5 000 0000
00074368,6.5005 8343 70 4981 6 000 0000
00074372,6.5005 8244 04 1055 1 000 0000
00074465,6.5005 8242 05 7342 8 000 0000
00047300,6.5005 7646 00 6939 6 000 0000
00019061,6.5005 9961 57 2723 9 000 0000
00108646,6.5005 8250 01 7741 3 000 0000
00117397,6.5005 8352 09 1783 8 000 0000
00114116,6.5005 8745 87 4887 5 000 0000
00080890,6.5005 9047 06 5681 1 000 0000
00167345,6.5005 7848 15 2547 1 000 0000
00048249,6.5005 7546 73 4067 7 000 0000
00125008,6.5005 8547 64 4123 4 001 0001
00064651,6.5005 8552 91 5463 6 000 0000
00058929,6.5005 8250 84 7053 9 000 0000
00039064,6.5005 8353 11 3485 2 000 0000
00106214,6.5005 9153 16 6489 3 000 0000
00033340,6.5005 7642 67 6062 5 000 0000
00014876,
00117034,
00035442,
00037951,
00065857,
00082346,
00019229,
00013362,
00160341,
00055700,
00036606,
00044137,
00117796,
00103610,
